instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpnrf1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,68,14.0,0.0,True,0.008866666666666667,66078,75389,149.32992229191586,3.13.15,2.5.1,calibration,large,optimum
scpnrf1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,92,14.0,0.0,True,0.0096,65401,75976,149.6776023330167,3.13.15,2.5.1,calibration,large,optimum
scpnrg1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,556,182.0,3.409090909090909,True,0.9314666666666667,6348,202358,560.3814401249401,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,521,182.0,3.409090909090909,True,0.9179333333333334,7029,202869,560.3383119576611,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,2743,182.0,3.409090909090909,True,0.9304666666666667,6427,202106,564.208657791838,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,548,180.0,2.272727272727273,True,0.9195333333333333,6390,202848,564.5642437078059,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,436,180.0,2.272727272727273,True,0.93,5937,201795,534.1913135829382,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,3242,178.0,1.1363636363636365,True,0.002,568253,224283,618.1433861250989,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,537,180.0,2.272727272727273,True,0.002,581013,234758,624.774948624894,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,14227,178.0,1.1363636363636365,True,0.002,561955,213913,622.6149993329309,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,8950,178.0,1.1363636363636365,True,0.002,566724,219673,625.5415844582021,3.13.15,2.5.1,calibration,very_large,best_known
scpnrg1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,1053,178.0,1.1363636363636365,True,0.002,574607,224042,634.0149072082713,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,478,66.0,4.761904761904762,True,0.9408666666666666,3884,201642,551.1230244161561,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,429,66.0,4.761904761904762,True,0.9359333333333333,4184,202013,493.09460491733626,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,461,68.0,7.936507936507937,True,0.9487333333333333,3331,201012,490.5456584999338,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,11171,66.0,4.761904761904762,True,0.925,4332,202797,185.7392299999483,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,512,67.0,6.349206349206349,True,0.945,3772,201557,185.76877266680822,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,7451,64.0,1.5873015873015872,True,0.002,281605,166397,583.6878680419177,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,634,65.0,3.1746031746031744,True,0.002,280468,169193,599.5720804999582,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,10930,66.0,4.761904761904762,True,0.002,280626,165367,599.2593914158642,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,1530,65.0,3.1746031746031744,True,0.002,282028,169562,331.144520083908,3.13.15,2.5.1,calibration,very_large,best_known
scpnrh1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,3726,64.0,1.5873015873015872,True,0.002,280757,166104,326.0834301249124,3.13.15,2.5.1,calibration,very_large,best_known
